id,problem_id,input,output
55,20,"[[""science"", ""12:40"", ""50""], [""music"", ""12:20"", ""40""], [""history"", ""14:00"", ""30""], [""computer"", ""12:30"", ""100""]]","[""science"", ""history"", ""computer"", ""music""]"
56,20,"[[""aaa"", ""12:00"", ""20""], [""bbb"", ""12:10"", ""30""], [""ccc"", ""12:40"", ""10""]]","[""bbb"", ""ccc"", ""aaa""]"
57,21,"[1, 3, 2]","[""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]"
58,21,"[0, 1, 1]","[""diamond"", ""diamond"", ""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""iron"", ""iron"", ""iron"", ""diamond""]"
59,22,"[""...D..R"", "".D.G..."", ""....D.D"", ""D....D."", ""..D....""]",7
60,22,"["".D.R"", ""...."", "".G.."", ""...D""]",-1
61,23,10,10
62,24,B0007,s2s2123
63,24,B0008,hong02
64,24,B0009,yawoong67
65,24,B0010,keel1990
66,25,B0001,kwag98
67,25,B0002,lee871201
68,25,B0003,goung12
69,25,B0004,keel1990
70,26,B0001,dhfkzmf09
71,26,B0002,lee871201
72,26,B0003,dhfkzmf09
73,26,B0004,kwag98
74,27,B0001,zkzkdh1
75,27,B0002,miyeon89
76,27,B0003,dhfkzmf09
77,27,B0004,sangjune1
78,28,"[2, 3, -6, 1, 3, -1, 2, 4]",10
79,29,"[""O.X"", "".O."", ""..X""]",1
80,29,"[""OOO"", ""..."", ""XXX""]",0
81,29,"[""..."", "".X."", ""...""]",0
82,29,"[""..."", ""..."", ""...""]",1
83,30,"[""SOOOL"",""XXXXO"",""OOOOO"",""OXXXX"",""OOOOE""]",16
84,30,"[""LOOXS"",""OOOOX"",""OOOOO"",""OOOOO"",""EOOOO""]",-1
85,31,1,1
86,31,2,1
87,31,3,2
88,31,4,2
89,32,1,세단
90,32,2,SUV
91,32,3,세단
92,32,4,세단
93,33,1,4
94,33,2,3
95,33,3,2
96,33,4,1
97,34,1,SUV
98,34,2,세단
99,34,3,트럭
100,34,4,세단
101,35,"[[""15:00"", ""17:00""], [""16:40"", ""18:20""], [""14:20"", ""15:20""], [""14:10"", ""19:20""], [""18:20"", ""21:20""]]",3
102,35,"[[""09:10"", ""10:10""], [""10:20"", ""12:20""]]",1
103,35,"[[""10:20"", ""12:30""], [""10:20"", ""12:30""], [""10:20"", ""12:30""]]",3
104,36,"[""X591X"",""X1X5X"",""X231X"", ""1XXX1""]","[1, 1, 27]"
105,36,"[""XXX"",""XXX"",""XXX""]",[-1]
106,37,"[2, 3, 3, 5]","[3, 5, 5, -1]"
107,37,"[9, 1, 5, 3, 6, 2]","[-1, 5, 6, 6, -1, -1]"
108,38,10,40
109,38,2,5
110,39,"[100,180,360,100,270]",4
111,40,"[[2,2],[1,4],[3,2],[3,2],[2,1]]",4
112,41,1,트럭
113,41,2,SUV
114,41,3,트럭
115,42,1,1
116,42,2,1
117,42,3,2
118,42,4,2
119,43,1,세단
120,43,2,SUV
121,43,3,SUV
122,43,4,트럭
123,44,4,5
124,44,2,7
125,45,"[[40, 10000], [25, 10000]]","[7000, 9000]"
126,45,"[[40, 2900], [23, 10000], [11, 5200], [5, 5900], [40, 3100], [27, 9200], [32, 6900]]","[1300, 1500, 1600, 4900]"
127,46,"[7, 42, 5]","[1, 1, 0]"
128,46,"[63, 111, 95]","[1, 1, 0]"
129,47,"[""UPDATE 1 1 menu"", ""UPDATE 1 2 category"", ""UPDATE 2 1 bibimbap"", ""UPDATE 2 2 korean"", ""UPDATE 2 3 rice"", ""UPDATE 3 1 ramyeon"", ""UPDATE 3 2 korean"", ""UPDATE 3 3 noodle"", ""UPDATE 3 4 instant"", ""UPDATE 4 1 pasta"", ""UPDATE 4 2 italian"", ""UPDATE 4 3 noodle"", ""MERGE 1 2 1 3"", ""MERGE 1 3 1 4"", ""UPDATE korean hansik"", ""UPDATE 1 3 group"", ""UNMERGE 1 4"", ""PRINT 1 3"", ""PRINT 1 4""]","[""EMPTY"", ""group""]"
130,47,"[""UPDATE 1 1 a"", ""UPDATE 1 2 b"", ""UPDATE 2 1 c"", ""UPDATE 2 2 d"", ""MERGE 1 1 1 2"", ""MERGE 2 2 2 1"", ""MERGE 2 1 1 1"", ""PRINT 1 1"", ""UNMERGE 2 2"", ""PRINT 1 1""]","[""d"", ""EMPTY""]"
131,48,3,4
132,48,2,2
133,48,3,3
134,49,"[[2, 4], [1, 2], [6, 8], [1, 3], [5, 7], [2, 5], [3, 6], [6, 10], [6, 9]]","[0, 0, 0, 3, 0, 0, 5, 1, 2, 3]"
135,49,"[[1, 2], [1, 3]]","[0, 7, 3]"
136,49,"[[1, 3], [1, 2]]","[0, 7, 1]"
137,50,16,6
138,50,2554,16
139,51,2,4
140,52,"[[2,2,6],[1,5,10],[4,2,9],[3,8,3]]",2
141,53,1,인문
142,53,2,경제
143,53,3,경제
144,54,1,인문
145,54,2,경제
146,54,3,경제
147,55,1,인문
148,55,2,경제
149,55,3,경제
150,56,7,3
151,56,2,4
152,57,2,4
153,57,1,5
154,58,3,1
155,58,3,2
156,58,3,3
157,59,6,"[1, 3, 2, 5, 4, 5, 2, 3]"
158,59,4,"[1, 3, 2, 5, 4, 5, 2, 3]"
159,59,2,"[1, 1, 1, 1, 2, 2, 2, 3]"
160,60,8,"[1,3,7]"
161,61,"""1756""",10
162,61,"""5123""",8
163,62,"[10, 17]","[5, 20]"
164,62,"[10, 20]","[5, 17]"
165,62,"[14, 35, 119]","[18, 30, 102]"
166,63,5,"[[0,0],[0,-1],[2,-3],[3,-3]]"
167,63,3,"[[0,0], [1,-2], [3,-3]]"
168,64,8,"[[1, 2], [1, 3], [1, 4], [1, 5], [5, 6], [5, 7], [5, 8]]"
169,64,10,"[[4, 1], [5, 1], [5, 6], [7, 6], [1, 2], [1, 3], [6, 8], [2, 9], [9, 10]]"
170,65,101,chocolate
171,65,102,vanilla
172,65,103,mint_chocolate
173,65,104,caramel
174,66,101,chocolate
175,66,102,vanilla
176,66,103,mint_chocolate
177,66,104,caramel
178,67,3,"[[1, 2], [2, 3]]"
179,67,5,"[[1, 2], [1, 4], [2, 4], [2, 5], [4, 5]]"
180,68,"[1, 2, 1, 3, 1, 4, 1, 2]",2
181,68,"[1, 2, 3, 1, 4]",0
182,69,PT22000019,바라
183,69,PT22000043,오스왈드
184,69,PT22000052,제니
185,69,PT22000071,몬몬
186,70,2022-04-14 09:30:00.000000,47
187,70,2022-04-15 10:30:00.000000,48
188,70,2022-05-15 17:30:00.000000,49
189,70,2022-05-18 10:30:00.000000,52
190,71,"[4, 3, 1, 2, 5]",2
191,71,"[5, 4, 3, 2, 1]",5
192,72,"[[0, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 1, 1, 0], [1, 0, 1, 1, 0], [0, 1, 0, 1, 0]]","[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1]]"
193,72,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 1], [0, 0, 0], [0, 0, 0]]"
194,73,"[[0,3,3,0],[3,2,2,3],[0,3,2,0],[0,3,3,3]]",3
195,74,"[7,9,1,1,4]",18
196,75,1,1
197,75,2,4
198,75,4,2
199,75,3,6
200,76,1,1
201,76,2,1
202,76,4,2
203,76,3,1
204,77,1,1
205,77,2,NULL
206,77,3,0
207,77,4,0
208,78,1,A1000011
209,78,2,A1000045
210,78,3,C3000002
211,79,1,1
212,79,2,NULL
213,79,3,0
214,79,4,0
215,80,1,A1000011
216,80,2,A1000045
217,80,3,C3000002
218,80,4,C3000006
219,81,1,A1000011
220,81,2,A1000045
221,81,3,C3000002
222,81,4,C3000006
223,82,"[8,6,3,7,2,5,1,4]",12
224,83,21,"[1,0]"
225,83,58,"[2,2]"
226,84,"[""banana"", ""apple"", ""rice"", ""pork"", ""pot""]","[3, 2, 2, 2, 1]"
227,84,"[""apple""]",[10]
228,85,jiho92@naver.com,이지호
229,85,jiyoon22@hotmail.com,김지윤
230,85,jihoon93@hanmail.net,김지훈
231,85,seoyeons@naver.com,박서연
232,86,00001,은돼지식당
233,86,00002,하이가쯔네
234,86,00003,따띠따띠뜨
235,86,00004,스시사카우스
236,87,jiho92@naver.com,이지호
237,87,jiyoon22@hotmail.com,김지윤
238,87,jihoon93@hanmail.net,김지훈
239,87,seoyeons@naver.com,박서연
240,88,00028,대우부대찌개
241,88,00039,광주식당
242,88,00035,삼촌식당
243,89,P0011,맛있는콩기름
244,89,P0012,맛있는올리브유
245,89,P0013,맛있는포도씨유
246,89,P0014,맛있는마조유
247,90,P0018,맛있는고추기름
248,90,P0019,맛있는카놀라유
249,90,P0020,맛있는산초유
250,90,P0021,맛있는케첩
251,91,P0018,맛있는고추기름
252,91,P0019,맛있는카놀라유
253,91,P0020,맛있는산초유
254,91,P0021,맛있는케첩
255,92,OD00000051,P0002
256,92,OD00000052,P0003
257,92,OD00000053,P0005
258,92,OD00000054,P0006
259,93,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","[""Rotate"", ""ShiftRow""]"
260,93,"[[8, 6, 3], [3, 3, 7], [8, 4, 9]]","[""Rotate"", ""ShiftRow"", ""ShiftRow""]"
261,93,"[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12]]","[""ShiftRow"", ""Rotate"", ""ShiftRow"", ""Rotate""]"
262,94,6,"[[1, 2, 3], [2, 3, 5], [2, 4, 2], [2, 5, 4], [3, 4, 4], [4, 5, 3], [4, 6, 1], [5, 6, 1]]"
263,94,7,"[[1, 4, 4], [1, 6, 1], [1, 7, 3], [2, 5, 2], [3, 7, 4], [5, 6, 6]]"
264,94,7,"[[1, 2, 5], [1, 4, 1], [2, 3, 1], [2, 6, 7], [4, 5, 1], [5, 6, 1], [6, 7, 1]]"
265,94,5,"[[1, 3, 10], [1, 4, 20], [2, 3, 4], [2, 4, 6], [3, 5, 20], [4, 5, 6]]"
266,95,0,0
267,96,"[3, 2, 7, 2]","[4, 6, 5, 1]"
268,96,"[1, 2, 1, 2]","[1, 10, 1, 2]"
269,96,"[1, 1]","[1, 5]"
270,97,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[1, 0]"
271,97,"[[1, 1, 1], [1, 0, 1], [1, 1, 1]]","[1, 0]"
272,97,"[[1, 1, 1, 1, 1]]","[0, 0]"
273,97,[[1]],"[0, 0]"
274,98,"[[5,5,5,5,5],[5,5,5,5,5],[5,5,5,5,5],[5,5,5,5,5]]","[[1,0,0,3,4,4],[1,2,0,2,3,2],[2,1,0,3,1,2],[1,0,1,3,3,1]]"
275,98,"[[1,2,3],[4,5,6],[7,8,9]]","[[1,1,1,2,2,4],[1,0,0,1,1,2],[2,2,0,2,0,100]]"
276,99,"[0,0,1,1,1,0,1,0,1,0,1,1]","[[0,1],[1,2],[1,4],[0,8],[8,7],[9,10],[9,11],[4,3],[6,5],[4,6],[8,9]]"
277,99,"[0,1,0,1,1,0,1,0,0,1,0]","[[0,1],[0,2],[1,3],[1,4],[2,5],[2,6],[3,7],[4,8],[6,9],[9,10]]"
278,100,5,"[2,1,1,1,0,0,0,0,0,0,0]"
279,100,1,"[1,0,0,0,0,0,0,0,0,0,0]"
280,100,9,"[0,0,1,2,0,1,1,1,1,1,1]"
281,100,10,"[0,0,0,0,0,0,0,0,3,4,3]"
282,101,"[180, 5000, 10, 600]","[""05:34 5961 IN"", ""06:00 0000 IN"", ""06:34 0000 OUT"", ""07:59 5961 OUT"", ""07:59 0148 IN"", ""18:59 0000 IN"", ""19:09 0148 OUT"", ""22:59 5961 IN"", ""23:00 5961 OUT""]"
283,101,"[120, 0, 60, 591]","[""16:00 3961 IN"",""16:00 0202 IN"",""18:00 3961 OUT"",""18:00 0202 OUT"",""23:58 3961 IN""]"
284,101,"[1, 461, 1, 10]","[""00:00 1234 IN""]"
285,102,437674,3
286,102,110011,10
287,103,80,"[[80,20],[50,40],[30,10]]"
288,104,"[[1,1,7,4],[3,2,5,5],[4,3,6,9],[2,6,8,8]]",1
289,104,"[[1,1,8,4],[2,2,4,9],[3,6,9,8],[6,3,7,7]]",9
290,104,"[[1,1,5,7]]",1
291,104,"[[2,1,7,5],[6,4,10,10]]",3
292,105,2,"[1,2]"
293,105,3,[3]
294,105,5,"[1,4,4]"
295,105,50,"[1,6,5,2,4]"
296,106,2,2
297,106,2,5
298,107,3,2
299,107,4,7
300,108,"[[2, -1, 4], [-2, -1, 4], [0, -1, 1], [5, -8, -12], [5, 8, 12]]","[""....*...."", ""........."", ""........."", ""*.......*"", ""........."", ""........."", ""........."", ""........."", ""*.......*""]"
301,108,"[[0, 1, -1], [1, 0, -1], [1, 0, 1]]","[""*.*""]"
302,108,"[[1, -1, 0], [2, -1, 0]]","[""*""]"
303,108,"[[1, -1, 0], [2, -1, 0], [4, -1, 0]]","[""*""]"
304,109,9,"[[1,3],[2,3],[3,4],[4,5],[4,6],[4,7],[7,8],[7,9]]"
305,109,4,"[[1,2],[2,3],[3,4]]"
306,109,7,"[[1,2],[2,7],[3,7],[3,4],[4,5],[6,7]]"
307,110,"[1,1,1,1,1,1,2,5,8,2,1,1,4,8,8,8,12,6,6]","[4,3,1,5,6]"
308,111,10,10
309,111,90,500
310,112,"[""SL"",""LR""]",[16]
311,112,"[""S""]","[1,1,1,1]"
312,112,"[""R"",""R""]","[4,4]"
313,113,"""AAAAE""",6
314,113,"""AAAE""",10
315,113,"""I""",1563
316,113,"""EIO""",1189
317,114,"[[1,1,0,0,1,0],[0,0,1,0,1,0],[0,1,1,0,0,1],[1,1,0,1,1,1],[1,0,0,0,1,0],[0,1,1,1,0,0]]","[[1,0,0,1,1,0],[1,0,1,0,1,0],[0,1,1,0,1,1],[0,0,1,0,0,0],[1,1,0,1,1,0],[0,1,0,0,0,0]]"
318,114,"[[0,0,0],[1,1,0],[1,1,1]]","[[1,1,1],[1,0,0],[0,0,0]]"
319,115,3,"[12, 30, 1, 8, 8, 6, 20, 7, 5, 10, 4, 1]"
320,115,1,"[6, 9, 7, 5]"
321,115,2,"[6, 9, 7, 5]"
322,115,4,"[6, 9, 7, 5]"
323,116,3,1
324,116,4,1
325,117,8,2
326,118,"[[""POOOP"", ""OXXOX"", ""OPXPX"", ""OOXOX"", ""POXXP""], [""POOPX"", ""OXPXP"", ""PXXXO"", ""OXXXO"", ""OOOPP""], [""PXOPX"", ""OXOXP"", ""OXPOX"", ""OXXOP"", ""PXPOX""], [""OOOXX"", ""XOOOX"", ""OOOXX"", ""OXOOX"", ""OOOOO""], [""PXPXP"", ""XPXPX"", ""PXPXP"", ""XPXPX"", ""PXPXP""]]","[1, 0, 1, 1, 1]"
327,119,"[1,10,100,1000,10000]","[[1,2],[1,3],[2,4],[2,5]]"
328,120,"[""1110"",""100111100"",""0111111010""]","[""1101"",""100110110"",""0110110111""]"
329,121,"[2,7]","[3,11]"
330,122,4431977,"BOUTIQUE STAYS - Somerset Terrace, Pet Friendly"
331,122,5194998,"BOUTIQUE STAYS - Elwood Beaches 3, Pet Friendly"
332,122,16045624,Urban Jungle in the Heart of Melbourne
333,122,17810814,Stylish Bayside Retreat with a Luscious Garden
334,123,"[""john"", ""mary"", ""edward"", ""sam"", ""emily"", ""jaimie"", ""tod"", ""young""]","[""-"", ""-"", ""mary"", ""edward"", ""mary"", ""mary"", ""jaimie"", ""edward""]"
335,124,6,6
336,124,3,3
337,124,100,97
338,125,5,5
339,126,"[-5,0,2,1,2]","[[0,1],[3,4],[2,3],[0,3]]"
340,126,"[0,1,0]","[[0,1],[1,2]]"
341,127,"""[](){}""",3
342,127,"""}]()[{""",2
343,127,"""[)(]""",0
344,127,"""}}}""",0
345,128,"[14, 17, 15, 18, 19, 14, 13, 16, 28, 17]","[[10, 8], [1, 9], [9, 7], [5, 4], [1, 5], [5, 10], [10, 6], [1, 3], [10, 2]]"
346,128,"[5, 6, 5, 3, 4]","[[2,3], [1,4], [2,5], [1,2]]"
347,128,"[5, 6, 5, 1, 4]","[[2,3], [1,4], [2,5], [1,2]]"
348,128,"[10, 10, 1, 1]","[[3,2], [4,3], [1,4]]"
349,129,"[[1,0,0,3],[2,0,0,0],[0,0,0,2],[3,0,1,0]]",1
350,129,"[[3,0,0,2],[0,0,1,0],[0,1,0,0],[2,0,0,3]]",0
351,130,"""02:03:55""","""00:14:15"""
352,130,"""99:59:59""","""25:00:00"""
353,130,"""50:00:00""","""50:00:00"""
354,131,6,4
355,131,7,3
356,132,"[""java backend junior pizza 150"",""python frontend senior chicken 210"",""python frontend senior chicken 150"",""cpp backend senior pizza 260"",""java backend junior chicken 80"",""python backend senior chicken 50""]","[""java and backend and junior and pizza 100"",""python and frontend and senior and chicken 200"",""cpp and - and senior and pizza 250"",""- and backend and senior and - 150"",""- and - and - and chicken 100"",""- and - and - and - 150""]"
357,133,"[""ABCFG"", ""AC"", ""CDE"", ""ACDE"", ""BCFG"", ""ACDEH""]","[2,3,4]"
358,133,"[""ABCDE"", ""AB"", ""CD"", ""ADE"", ""XYZ"", ""XYZ"", ""ACD""]","[2,3,5]"
359,133,"[""XYZ"", ""XWY"", ""WXA""]","[2,3,4]"
360,134,"[[5,1],[2,5],[3,5],[3,6],[2,4],[4,0]]",7
361,134,"[[2,5],[2,0],[3,2],[4,2],[2,1]]",4
362,135,[0],0
363,135,"[5,2,3,3,5,3]",4
364,135,"[0,3,3,0,7,2,0,2,2,0]",8
365,136,"""110010101001""","[3,8]"
366,136,"""01110""","[3,3]"
367,136,"""1111111""","[4,1]"
368,137,"""baby""",9
369,137,"""oo""",0
370,138,4,"[[1,2],[2,3],[3,4]]"
371,138,5,"[[1,5],[2,5],[3,5],[4,5]]"
372,139,"[[1,1,0,0],[1,0,0,0],[1,0,0,1],[1,1,1,1]]","[4,9]"
373,139,"[[1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1],[0,0,0,0,1,1,1,1],[0,1,0,0,1,1,1,1],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,1],[0,0,0,0,1,0,0,1],[0,0,0,0,1,1,1,1]]","[10,15]"
374,140,"[[0,1,0],[1,1,1],[1,1,0],[0,1,1]]",6
375,140,"[[1,0,0],[1,0,0]]",0
376,140,"[[1,0,0,1,1],[0,0,0,0,0],[1,1,0,0,0],[0,0,0,0,1]]",72
377,141,"[9,-1,-5]",3
378,141,"[-16,27,65,-2,58,-92,-71,-68,-61,-33]",6
379,142,4,"[1,2,9,3,10,8,4,5,6,7]"
380,142,5,"[1,2,12,3,13,11,4,14,15,10,5,6,7,8,9]"
381,142,6,"[1,2,15,3,16,14,4,17,21,13,5,18,19,20,12,6,7,8,9,10,11]"
382,143,9,"[[0,1],[0,3],[0,7],[8,1],[3,6],[1,2],[4,7],[7,5]]"
383,143,9,"[[8,1],[0,1],[1,2],[0,7],[4,7],[0,3],[7,5],[3,6]]"
384,144,"[[0,0,0],[0,0,0],[0,0,0]]",900
385,144,"[[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,1,0,0,0],[0,0,0,1,0,0,0,1],[0,0,1,0,0,0,1,0],[0,1,0,0,0,1,0,0],[1,0,0,0,0,0,0,0]]",3800
386,144,"[[0,0,1,0],[0,0,0,0],[0,1,0,1],[1,0,0,0]]",2100
387,144,"[[0,0,0,0,0,0],[0,1,1,1,1,0],[0,0,1,0,0,0],[1,0,0,1,0,1],[0,1,0,0,0,1],[0,0,0,0,0,0]]",3200
388,145,"[""DIA"", ""RUBY"", ""RUBY"", ""DIA"", ""DIA"", ""EMERALD"", ""SAPPHIRE"", ""DIA""]","[3, 7]"
389,145,"[""AA"", ""AB"", ""AC"", ""AA"", ""AC""]","[1, 3]"
390,145,"[""XYZ"", ""XYZ"", ""XYZ""]","[1, 1]"
391,145,"[""ZZZ"", ""YYY"", ""NNNN"", ""YYY"", ""BBB""]","[1, 5]"
392,146,"""100-200*300-500+20""",60420
393,146,"""50*6-3*2""",300
394,147,"""{{2},{2,1},{2,1,3},{2,1,3,4}}""","[2, 1, 3, 4]"
395,147,"""{{1,2,3},{2,1},{1,2,4,3},{2}}""","[2, 1, 3, 4]"
396,147,"""{{20,111},{111}}""","[111, 20]"
397,147,"""{{123}}""",[123]
398,148,"[""frodo"", ""fradi"", ""crodo"", ""abc123"", ""frodoc""]","[""fr*d*"", ""abc1**""]"
399,148,"[""frodo"", ""fradi"", ""crodo"", ""abc123"", ""frodoc""]","[""*rodo"", ""*rodo"", ""******""]"
400,148,"[""frodo"", ""fradi"", ""crodo"", ""abc123"", ""frodoc""]","[""fr*d*"", ""*rodo"", ""******"", ""******""]"
401,149,10,"[1,3,4,1,3,1]"
402,150,"[2, 4, 5, 3, 2, 1, 4, 2, 5, 1]",3
403,151,1630,83
404,151,1631,83
405,151,5491,286
406,151,5504,286
407,152,"[[1, 4, 8, 10], [5, 5, 5, 5], [10, 10, 10, 10], [10, 10, 10, 20]]",3
408,152,"[[10, 11, 10, 11], [2, 21, 20, 10], [1, 20, 21, 11], [2, 1, 2, 1]]",1
409,153,8,12
410,154,"[[0, 0, 0, 1, 1],[0, 0, 0, 1, 0],[0, 1, 0, 1, 1],[1, 1, 0, 0, 1],[0, 0, 0, 0, 0]]",7
411,155,12,"[1, 5, 6, 10]"
412,155,12,"[1, 3, 4, 9, 10]"
413,156,5,"[[1,0,0,1],[1,1,1,1],[2,1,0,1],[2,2,1,1],[5,0,0,1],[5,1,0,1],[4,2,1,1],[3,2,1,1]]"
414,156,5,"[[0,0,0,1],[2,0,0,1],[4,0,0,1],[0,1,1,1],[1,1,1,1],[2,1,1,1],[3,1,1,1],[2,0,0,0],[1,1,1,0],[2,2,0,1]]"
415,157,"[""frodo"", ""front"", ""frost"", ""frozen"", ""frame"", ""kakao""]","[""fro??"", ""????o"", ""fr???"", ""fro???"", ""pro?""]"
416,158,"[[0, 0, 0], [1, 0, 0], [0, 1, 1]]","[[1, 1, 1], [1, 1, 0], [1, 0, 1]]"
417,159,"""(()())()""","""(()())()"""
418,159,""")(""","""()"""
419,159,"""()))((()""","""()(())()"""
420,160,"""aabbaccc""",7
421,160,"""ababcdcdababcdcd""",9
422,160,"""abcabcdede""",8
423,160,"""abcabcabcabcdededededede""",14
424,161,A349996,Cat
425,161,A350276,Cat
426,161,A350375,Cat
427,161,A352555,Dog
428,162,0,0
429,162,1,0
430,162,2,0
431,162,3,0
432,163,9,1
433,163,10,2
434,163,11,13
435,163,12,10
436,164,A354597,Cat
437,164,A362707,Dog
438,164,A370507,Cat
439,164,A414513,Dog
440,165,A350276,Cat
441,165,A350375,Cat
442,165,A368930,Dog
443,166,A355753,Dog
444,166,A373219,Cat
445,166,A382192,Dog
446,167,A562649,Dog
447,167,A412626,Dog
448,167,A563492,Dog
449,167,A513956,Dog
450,168,A399552,Dog
451,168,A379998,Dog
452,168,A370852,Dog
453,168,A403564,Dog
454,169,A355753,Dog
455,169,A352872,Dog
456,169,A353259,Dog
457,169,A373219,Cat
458,170,A373219,Cat
459,170,A377750,Dog
460,170,A353259,Dog
